full_name,max_slack
addroundkey_data_reg_reg[51]/RESETN,INFINITY
addroundkey_data_reg_reg[89]/RESETN,INFINITY
addroundkey_data_reg_reg[28]/RESETN,INFINITY
addroundkey_data_reg_reg[4]/RESETN,INFINITY
addroundkey_data_reg_reg[108]/RESETN,INFINITY
addroundkey_data_reg_reg[11]/RESETN,INFINITY
addroundkey_data_reg_reg[43]/RESETN,INFINITY
addroundkey_data_reg_reg[88]/RESETN,INFINITY
addroundkey_data_reg_reg[41]/RESETN,INFINITY
addroundkey_data_reg_reg[14]/RESETN,INFINITY
mix1_data_reg_reg[57]/RESETN,INFINITY
mix1_data_reg_reg[73]/RESETN,INFINITY
mix1_data_o_reg_reg[25]/RESETN,INFINITY
mix1_data_o_reg_reg[9]/RESETN,INFINITY
sbox1_alph_reg[1]/RESETN,INFINITY
sbox1_ah_reg_reg[0]/RESETN,INFINITY
ks1_key_reg_reg[28]/RESETN,INFINITY
ks1_key_reg_reg[27]/RESETN,INFINITY
ks1_key_reg_reg[25]/RESETN,INFINITY
ks1_key_reg_reg[57]/RESETN,INFINITY
ks1_key_reg_reg[29]/RESETN,INFINITY
ks1_key_reg_reg[75]/RESETN,INFINITY
ks1_key_reg_reg[90]/RESETN,INFINITY
ks1_key_reg_reg[107]/RESETN,INFINITY
ks1_key_reg_reg[111]/RESETN,INFINITY
sub1_data_reg_reg[67]/RESETN,INFINITY
sub1_data_reg_reg[83]/RESETN,INFINITY
sub1_data_reg_reg[27]/RESETN,INFINITY
sub1_data_reg_reg[59]/RESETN,INFINITY
sub1_data_reg_reg[123]/RESETN,INFINITY
sub1_data_reg_reg[75]/RESETN,INFINITY
sub1_data_reg_reg[21]/RESETN,INFINITY
sub1_data_reg_reg[53]/RESETN,INFINITY
sub1_data_reg_reg[117]/RESETN,INFINITY
sub1_data_reg_reg[35]/RESETN,INFINITY
ks1_col_reg[3]/RESETN,INFINITY
sub1_data_reg_reg[23]/RESETN,INFINITY
sub1_data_reg_reg[84]/RESETN,INFINITY
sub1_data_reg_reg[55]/RESETN,INFINITY
sub1_data_reg_reg[80]/RESETN,INFINITY
sub1_data_reg_reg[20]/RESETN,INFINITY
sub1_data_reg_reg[64]/RESETN,INFINITY
sub1_data_reg_reg[31]/RESETN,INFINITY
sub1_data_reg_reg[61]/RESETN,INFINITY
sub1_data_reg_reg[93]/RESETN,INFINITY
mix1_data_o_reg_reg[116]/RESETN,INFINITY
mix1_data_o_reg_reg[50]/RESETN,INFINITY
mix1_data_o_reg_reg[66]/RESETN,INFINITY
mix1_data_o_reg_reg[53]/RESETN,INFINITY
mix1_data_o_reg_reg[52]/RESETN,INFINITY
mix1_data_o_reg_reg[61]/RESETN,INFINITY
mix1_data_o_reg_reg[41]/RESETN,INFINITY
mix1_data_o_reg_reg[65]/RESETN,INFINITY
mix1_data_o_reg_reg[118]/RESETN,INFINITY
mix1_data_o_reg_reg[100]/RESETN,INFINITY
mix1_data_o_reg_reg[58]/RESETN,INFINITY
mix1_data_o_reg_reg[75]/RESETN,INFINITY
mix1_data_o_reg_reg[49]/RESETN,INFINITY
mix1_data_o_reg_reg[90]/RESETN,INFINITY
mix1_data_o_reg_reg[105]/RESETN,INFINITY
mix1_data_o_reg_reg[37]/RESETN,INFINITY
mix1_data_o_reg_reg[79]/RESETN,INFINITY
mix1_data_o_reg_reg[44]/RESETN,INFINITY
mix1_data_o_reg_reg[59]/RESETN,INFINITY
mix1_data_o_reg_reg[88]/RESETN,INFINITY
mix1_data_o_reg_reg[73]/RESETN,INFINITY
mix1_data_o_reg_reg[104]/RESETN,INFINITY
mix1_data_o_reg_reg[67]/RESETN,INFINITY
mix1_data_o_reg_reg[101]/RESETN,INFINITY
mix1_data_o_reg_reg[77]/RESETN,INFINITY
mix1_data_o_reg_reg[38]/RESETN,INFINITY
mix1_data_o_reg_reg[54]/RESETN,INFINITY
mix1_data_o_reg_reg[45]/RESETN,INFINITY
mix1_data_o_reg_reg[33]/RESETN,INFINITY
mix1_data_o_reg_reg[91]/RESETN,INFINITY
mix1_data_o_reg_reg[82]/RESETN,INFINITY
sub1_state_reg[1]/RESETN,INFINITY
sub1_data_reg_reg[6]/RESETN,INFINITY
