full_name,actual_rise_transition_max,actual_fall_transition_max,cached_ceff_max_rise,cached_ceff_max_fall,cached_ceff_min_rise,cached_ceff_min_fall,fanout_load,pin_capacitance_max,direction,max_rise_slack,max_fall_slack,max_rise_arrival,max_fall_arrival,actual_rise_transition_min,actual_fall_transition_min,min_rise_slack,min_fall_slack,min_rise_arrival,min_fall_arrival,x_coordinate,y_coordinate
g41860__1705/Y,44.822002,37.408195,0.001283,0.001395,0.001131,0.001084,0.000000,0.000000,out,-8.367767,-2.582443,241.622940,234.583160,27.007479,24.570799,8.110683,16.666847,28.052820,27.202345,4662.000000,11043.000000
g41829__4319/Y,15.839061,14.538175,0.001061,0.001173,0.000909,0.000862,0.000000,0.000000,out,-3.698959,-8.525192,237.743042,243.661392,13.488629,10.650030,13.404551,19.839991,32.407410,31.580183,3546.000000,11043.000000
g458/Y,35.265190,25.636906,0.001180,0.001184,0.001068,0.001060,0.000000,0.000000,out,-0.510330,8.865509,235.646973,226.841644,20.158966,18.921247,5.760078,13.718677,25.332142,24.223827,3780.000000,12033.000000
g42234/Y,25.772644,22.616560,0.000704,0.000704,0.000461,0.000449,0.000000,0.000000,out,-13.468048,1.632095,223.955444,222.390839,17.490679,13.439196,62.793884,40.749931,46.110157,42.620628,10026.000000,9423.000000
g42113/Y,20.807129,19.467926,0.001403,0.001406,0.001098,0.001189,0.000000,0.000000,out,-85.021286,-85.970413,213.516327,214.014252,15.627406,13.342438,65.645348,42.713959,40.938515,37.933334,8514.000000,9963.000000
g40502__45636/Y,25.637823,19.564817,0.001083,0.001081,0.001018,0.001001,0.000000,0.000000,out,-77.670929,-71.886414,361.569214,367.750732,11.460815,15.349379,-7.013496,-30.784462,44.924965,42.259201,6894.000000,8253.000000
g42232/Y,24.260000,21.720072,0.000612,0.000612,0.000545,0.000545,0.000000,0.000000,out,-0.387375,25.481277,225.190536,221.561935,19.409676,15.125403,40.898533,12.680889,43.373753,39.511566,11376.000000,10503.000000
g42239/Y,19.403938,17.588272,0.002972,0.002980,0.002774,0.002784,0.000000,0.000000,out,-84.753555,-88.123245,227.337341,236.349258,15.805973,13.424676,48.938675,50.328178,37.152794,35.012039,7488.000000,9963.000000
g41644__47477/Y,16.138311,14.646044,0.003025,0.003027,0.002387,0.002382,0.000000,0.000000,out,-111.436295,-112.779755,274.856232,273.295807,11.141194,11.978371,69.119560,69.417793,43.395782,46.463501,6354.000000,13113.000000
g41644__47477_dup/Y,25.240606,22.071239,0.006083,0.006078,0.004636,0.004619,0.000000,0.000000,out,-115.917236,-114.881546,277.099518,275.468414,18.178370,17.526527,63.929043,77.967697,47.081944,49.972458,6246.000000,12663.000000
g40533__45585/Y,28.318556,18.754885,0.000876,0.000875,0.000812,0.000794,0.000000,0.000000,out,-75.564758,-70.943298,359.730743,367.184662,10.242991,13.886914,-7.808586,-31.413879,44.467583,41.919052,6732.000000,6633.000000
g42092/Y,22.873884,20.092896,0.000599,0.000599,0.000531,0.000531,0.000000,0.000000,out,10.680771,30.219437,221.406937,217.265854,18.779572,14.633306,39.293526,12.003212,42.149506,38.628231,11970.000000,9963.000000
FE_OFC376_n_19453/Y,12.453691,12.376583,0.000644,0.000645,0.000430,0.000434,0.000000,0.000000,out,-77.378494,-68.123581,219.095901,210.223404,8.424538,6.932685,48.135105,21.193733,33.691704,30.717409,12834.000000,7803.000000
FE_OCPC433_n_13056/Y,11.526334,9.958844,0.000587,0.000588,0.000377,0.000367,0.000000,0.000000,out,41.769882,30.081894,223.413834,216.504898,9.105871,7.758669,12.209827,33.952480,51.583923,48.044586,12492.000000,10503.000000
g42231/Y,10.136552,10.982484,0.000660,0.000661,0.000446,0.000450,0.000000,0.000000,out,-75.990311,-91.588280,205.327866,210.058960,7.087160,8.147473,43.897106,23.489771,37.964302,39.943268,13752.000000,9423.000000
g374/Y,12.490530,11.823217,0.001837,0.001836,0.001432,0.001522,0.000000,0.000000,out,-93.628479,-91.565811,217.597244,209.675613,8.627694,7.367584,25.777058,1.564116,32.530998,29.925795,12348.000000,9333.000000
g45698/Y,12.277081,11.778779,0.001892,0.001890,0.001595,0.001541,0.000000,0.000000,out,-107.984749,-113.862625,221.342377,228.632812,9.521915,8.015270,20.362293,24.782753,27.672213,26.767838,13968.000000,9423.000000
FE_OFC375_n_3939/Y,13.043428,11.538974,0.002776,0.002757,0.002158,0.002137,0.000000,0.000000,out,-113.842056,-115.700768,220.660828,219.506027,10.210652,9.199306,37.787136,61.687408,39.535137,41.615139,12996.000000,11583.000000
fopt49727/Y,11.675941,12.803777,0.000649,0.000654,0.000533,0.000540,0.000000,0.000000,out,-107.398102,-104.959396,214.520859,208.237823,8.476161,6.945987,48.685566,23.906929,36.620811,32.919174,11376.000000,12123.000000
g42295/Y,25.096775,21.686951,0.006255,0.006367,0.005013,0.005021,0.000000,0.000000,out,-113.390053,-109.577065,230.977982,231.413025,19.988817,16.058929,8.062309,-28.375137,39.251968,34.705345,16686.000000,11043.000000
g41846__2398/Y,87.206543,63.592121,0.003060,0.003055,0.002795,0.002782,0.000000,0.000000,out,-34.648941,-34.032440,252.435593,240.660080,57.692749,54.835922,41.890514,47.562778,42.268883,41.609093,17190.000000,11493.000000
